ID,Neutral,Positive,Negative,Total,Difference,P_N ratio,Difference ratio,Decile
4485596,36.0,37.0,4.0,77.0,33.0,9.25,0.42857,9
4404970,59.0,13.0,42.0,114.0,-29.0,0.30952,-0.25439,1
4322046,41.0,13.0,3.0,57.0,10.0,4.33333,0.17544,5
4279695,39.0,21.0,6.0,66.0,15.0,3.5,0.22727,6
4384160,35.0,23.0,11.0,69.0,12.0,2.09091,0.17391,5
4258634,45.0,19.0,4.0,68.0,15.0,4.75,0.22059,6
4343784,86.0,8.0,41.0,135.0,-33.0,0.19512,-0.24444,1
4463265,78.0,14.0,3.0,95.0,11.0,4.66667,0.11579,3
4382923,74.0,20.0,8.0,102.0,12.0,2.5,0.11765,3
4341784,90.0,4.0,21.0,115.0,-17.0,0.19048,-0.14783,2
4280555,67.0,20.0,5.0,92.0,15.0,4.0,0.16304,5
4256935,104.0,30.0,10.0,144.0,20.0,3.0,0.13889,4
4362684,69.0,13.0,4.0,86.0,9.0,3.25,0.10465,3
4482287,110.0,20.0,9.0,139.0,11.0,2.22222,0.07914,3
4442846,71.0,20.0,6.0,97.0,14.0,3.33333,0.14433,4
4320413,65.0,14.0,3.0,82.0,11.0,4.66667,0.13415,4
4301253,69.0,18.0,3.0,90.0,15.0,6.0,0.16667,5
4504759,76.0,18.0,5.0,99.0,13.0,3.6,0.13131,4
4422752,75.0,16.0,1.0,92.0,15.0,16.0,0.16304,5
4401855,83.0,19.0,5.0,107.0,14.0,3.8,0.13084,4
4341127,91.0,38.0,9.0,138.0,29.0,4.22222,0.21014,6
4422057,80.0,44.0,6.0,130.0,38.0,7.33333,0.29231,7
4300529,66.0,15.0,1.0,82.0,14.0,15.0,0.17073,5
4279766,87.0,11.0,69.0,167.0,-58.0,0.15942,-0.34731,1
4382219,93.0,57.0,10.0,160.0,47.0,5.7,0.29375,7
4258678,79.0,35.0,6.0,120.0,29.0,5.83333,0.24167,6
4485555,95.0,5.0,50.0,150.0,-45.0,0.1,-0.3,1
4462545,39.0,17.0,0.0,56.0,17.0,inf,0.30357,7
4442083,36.0,42.0,6.0,84.0,36.0,7.0,0.42857,9
4323634,40.0,17.0,1.0,58.0,16.0,17.0,0.27586,7
4405059,112.0,71.0,1.0,184.0,70.0,71.0,0.38043,9
4504050,60.0,52.0,2.0,114.0,50.0,26.0,0.4386,10
4361903,86.0,77.0,16.0,179.0,61.0,4.8125,0.34078,8
4431752,35.0,58.0,10.0,103.0,48.0,5.8,0.46602,10
4392857,26.0,37.0,1.0,64.0,36.0,37.0,0.5625,10
